#timestamp_lkf,mono_status,stereo_status,nr_keypoints,nrDetectedFeatures,nrTrackerFeatures,nrMonoInliers,nrMonoPutatives,nrStereoInliers,nrStereoPutatives,monoRansacIters,stereoRansacIters,nrValidRKP,nrNoLeftRectRKP,nrNoRightRectRKP,nrNoDepthRKP,nrFailedArunRKP,featureDetectionTime,featureTrackingTime,monoRansacTime,stereoRansacTime,featureSelectionTime,extracted_corners,need_n_corners
472480000000,VALID,DISABLED,299,0,294,294,294,0,0,1,0,0,0,0,0,0,0,7,0,0,0,0,0
472744000000,VALID,DISABLED,300,0,299,298,299,0,0,2,0,0,0,0,0,0,0,9,0,0,0,0,0
472948000000,VALID,DISABLED,300,0,279,279,279,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0
473192000000,VALID,DISABLED,300,0,298,286,298,0,0,3,0,0,0,0,0,0,0,22,0,0,0,0,0
473408000000,VALID,DISABLED,301,0,300,300,300,0,0,1,0,0,0,0,0,0,0,8,0,0,0,0,0
473640000000,VALID,DISABLED,299,0,288,288,288,0,0,4,0,0,0,0,0,0,0,11,0,0,0,0,0
473884000000,VALID,DISABLED,304,0,263,254,263,0,0,2,0,0,0,0,0,0,0,16,0,0,0,0,0
474140000000,VALID,DISABLED,305,0,304,304,304,0,0,1,0,0,0,0,0,0,0,13,0,0,0,0,0
474416000000,VALID,DISABLED,295,0,305,228,305,0,0,7,0,0,0,0,0,0,0,7,0,0,0,0,0
474688000000,VALID,DISABLED,305,0,255,246,255,0,0,2,0,0,0,0,0,0,0,13,0,0,0,0,0
474888000000,VALID,DISABLED,303,0,305,302,305,0,0,3,0,0,0,0,0,0,0,5,0,0,0,0,0
475108000000,VALID,DISABLED,299,0,292,283,292,0,0,3,0,0,0,0,0,0,0,8,0,0,0,0,0
475336000000,VALID,DISABLED,299,0,292,290,292,0,0,2,0,0,0,0,0,0,0,7,0,0,0,0,0
475608000000,VALID,DISABLED,298,0,286,283,286,0,0,2,0,0,0,0,0,0,0,7,0,0,0,0,0
